id,win,item1,item2,item3,item4,item5,item6,trinket,kills,deaths,assists,largestkillingspree,largestmultikill,killingsprees,longesttimespentliving,doublekills,triplekills,quadrakills,pentakills,legendarykills,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,largestcrit,totdmgtochamp,magicdmgtochamp,physdmgtochamp,truedmgtochamp,totheal,totunitshealed,dmgselfmit,dmgtoobj,dmgtoturrets,visionscore,timecc,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,goldearned,goldspent,turretkills,inhibkills,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills,totcctimedealt,champlvl,pinksbought,wardsbought,wardsplaced,wardskilled,firstblood
415,0,1056,3020,1056,3165,3113,1058,3340,6,6,5,2,1,1,273,0,0,0,0,0,84662,73694,10067,900,0,15448,12292,2256,900,343,1,5176,0,0,18,0,12512,6705,5692,114,7852,7125,0,0,121,0,0,0,281,13,1,0,6,2,0
416,0,3085,1055,1001,3031,1042,1042,3340,4,4,3,3,1,1,563,0,0,0,0,0,70738,200,70537,0,345,6566,200,6366,0,1392,3,4341,674,165,5,0,10418,4083,6069,266,7700,7500,0,0,154,0,0,0,39,12,0,0,5,0,0
417,0,3302,2031,2049,1001,0,0,3340,0,1,0,0,0,0,569,0,0,0,0,0,4574,410,2260,1903,0,641,120,521,0,352,2,2305,0,0,3,0,3146,816,2246,84,3800,1600,0,0,11,0,0,0,20,6,0,0,3,0,0
418,0,3077,1055,3047,3082,3044,0,3340,3,1,4,3,1,1,232,0,0,0,0,0,42159,399,41760,0,0,5315,175,5139,0,1240,1,8674,129,0,1,0,10684,2837,7734,112,5497,5050,0,0,53,0,0,0,87,12,0,0,2,0,0
419,1,3142,1036,0,3053,3047,1412,3363,6,5,4,2,2,2,385,1,0,0,0,0,110356,5138,99020,6197,0,8831,1295,7326,210,7729,1,10764,3316,3316,17,0,21305,4852,16436,16,10203,9825,1,0,20,78,49,29,550,13,0,0,9,1,0
420,1,3153,3006,3031,3046,1055,1029,3340,17,0,8,17,2,1,0,4,0,0,0,0,140888,1644,126023,13219,683,30367,1050,25189,4128,3708,2,10387,14528,8712,14,0,20323,6199,13759,364,15269,11600,4,1,195,11,0,11,196,15,0,0,9,1,0
421,1,3401,3143,1011,3105,1033,3047,3340,1,1,26,0,1,0,1443,0,0,0,0,0,35150,12239,12476,10433,0,8716,6979,1737,0,5198,5,24127,4045,2993,15,0,18666,6099,12352,214,10231,9050,0,0,47,0,0,0,877,14,0,0,10,0,0
422,1,3031,3046,3155,1038,3047,1036,3363,11,4,5,4,4,4,848,2,1,1,0,0,126280,9085,116062,1132,645,17940,1399,15787,754,0,0,19647,6730,6730,18,0,14627,3196,11278,152,12763,10850,1,1,171,23,9,14,94,15,2,0,8,1,0
423,1,3116,3020,3146,1058,3113,0,3340,9,9,5,3,2,3,264,1,0,0,0,0,108751,88552,17802,2395,0,20849,17327,2374,1147,3854,1,13011,3637,3637,17,0,23163,5955,16837,370,11593,9750,2,0,151,3,3,0,331,15,0,0,10,2,0
424,0,1055,3508,3006,3046,2010,1037,3340,4,8,4,2,2,1,557,1,0,0,0,0,86920,0,86844,75,345,15036,0,15036,0,2170,3,7861,690,690,7,0,16935,3136,12582,1216,9074,8725,0,0,163,0,0,0,12,12,0,0,5,1,0
